Name,Wickets,Maiden,DotBalls,BowlingAvg,EcoRate,StrikeRate,HatTrick,FourWickets
Lasith Malinga,170,8,1155,19.8,7.14,16.62,0,6
Dwayne Bravo,167,2,943,24.31,8.36,17.44,0,2
Amit Mishra,166,6,1154,23.97,7.35,19.54,3,4
Piyush Chawla,157,2,1151,27.39,7.88,20.85,0,2
Harbhajan Singh,150,6,1268,26.86,7.07,22.77,0,1
Ravichandran Ashwin,145,4,1265,27.8,6.91,24.12,0,1
Sunil Narine,143,3,1249,24.53,6.74,21.83,1,7
Bhuvneshwar Kumar,142,9,1267,25.26,7.3,20.76,0,2
Yuzvendra Chahal,139,4,895,22.28,7.59,17.61,0,2
Jasprit Bumrah,130,6,981,23.03,7.41,18.63,0,2
Ravindra Jadeja,127,2,987,30.04,7.61,23.68,0,3
Umesh Yadav,119,3,962,30.07,8.53,21.19,0,2
Sandeep Sharma,112,8,903,25.43,7.77,19.62,0,2
Ashish Nehra,106,2,801,23.53,7.84,18,0,1
Vinay Kumar,105,1,763,28.24,8.39,20.2,0,1
Zaheer Khan,102,5,875,27.27,7.58,21.56,0,1
Dale Steyn,97,7,1022,25.85,6.91,22.43,0,0
Axar Patel,95,2,763,29.07,7.22,24.16,1,1
Chris Morris,95,0,681,24.15,8,18.1,0,4
Rashid Khan,93,3,752,20.55,6.33,19.48,0,0
Shane Watson,92,3,804,29.15,7.93,22.05,1,1
Mohit Sharma,92,0,649,26.84,8.45,19.06,0,1
Praveen Kumar,90,14,1076,36.12,7.72,28.04,1,0
RP Singh,90,2,747,25.97,7.9,19.72,0,2
Pragyan Ojha,89,0,674,26.2,7.36,21.33,0,0
Dhawal Kulkarni,86,8,744,28.76,8.31,20.77,0,1
Albie Morkel,85,3,648,27.7,8.2,20.27,0,1
Jaydev Unadkat,85,3,596,30.44,8.72,20.89,1,0
Imran Tahir,82,1,443,20.76,7.76,16.04,0,3
Irfan Pathan,80,10,838,33.11,7.77,25.54,0,0
Mohammad Shami,79,1,650,30.4,8.63,21.13,0,0
Harshal Patel,78,0,435,23.17,8.58,16.2,1,1
Morne Morkel,77,3,708,27.12,7.69,21.15,0,1
Lakshmipathy Balaji,76,2,538,26.68,8.05,19.88,1,3
Kagiso Rabada,76,2,452,20.52,8.21,15,0,4
Trent Boult,76,5,592,26.09,8.4,18.64,0,1
Munaf Patel,74,5,592,22.94,7.51,18.31,0,2
Ishant Sharma,73,6,856,37.57,8.09,27.74,0,0
Andre Russell,72,0,443,26.4,9.05,17.51,0,1
Rajat Bhatia,71,1,437,28.45,7.4,23.3,0,1
Mitchell McClenaghan,71,0,513,25.39,8.49,17.94,0,1
Ashok Dinda,68,3,623,30.04,8.2,22.2,0,1
Shardul Thakur,67,2,473,27.86,8.89,18.8,0,0
Siddharth Trivedi,65,2,494,29.29,7.58,23.17,0,1
Jacques Kallis,65,3,601,35.28,7.89,26.8,0,0
Kieron Pollard,65,0,386,31.26,8.76,21.6,0,1
Muttiah Muralitharan,63,1,600,26.92,6.67,24.19,0,0
Shakib Al Hasan,63,1,507,29.19,7.43,23.56,0,0
Mitchell Johnson,61,2,535,27.9,8.29,20.19,0,0
Deepak Chahar,59,6,582,29.18,7.8,22.44,0,2
Karn Sharma,59,0,408,27.28,7.9,20.71,0,2
James Faulkner,59,4,399,30.13,8.69,20.79,0,0
Siddarth Kaul,58,3,396,29.24,8.59,20.43,0,1
Shane Warne,57,1,429,25.38,7.27,20.94,0,1
