Name,MostRuns,Most4s,Most6s,Most50s,Most100s,HighestScore,StrikeRate,AverageRuns
Virat Kohli,6283,546,210,42,5,113,129.94,37.39
Shikhar Dhawan,5784,654,124,44,2,106,126.64,34.84
Rohit Sharma,5611,491,227,40,1,109,130.39,31.17
Suresh Raina,5528,506,203,39,1,100,136.76,32.51
David Warner,5449,525,201,50,4,126,139.96,41.59
AB de Villiers,5162,413,251,40,3,133,151.68,39.7
Chris Gayle,4965,405,357,31,6,175,148.96,39.72
MS Dhoni,4746,325,219,23,0,84,135.83,39.55
Robin Uthappa,4722,462,168,25,0,87,130.15,27.94
Gautam Gambhir,4217,491,59,36,0,93,123.88,31.23
Dinesh Karthik,4046,399,112,19,0,97,129.72,25.77
Ajinkya Rahane,3941,417,76,28,2,105,121.33,31.52
Ambati Rayudu,3916,324,149,21,1,100,127.47,29.44
Shane Watson,3874,376,190,21,4,117,137.91,30.99
Manish Pandey,3560,309,103,21,1,114,121.83,30.68
KL Rahul,3273,282,134,27,2,132,136.37,47.43
Kieron Pollard,3268,212,214,16,0,87,149.77,29.98
Yusuf Pathan,3204,262,158,13,1,100,142.97,29.12
Sanju Samson,3068,236,132,15,3,119,134.2,29.21
Faf du Plessis,2935,265,96,22,0,96,131.08,34.94
Brendon McCullum,2880,293,130,13,2,158,131.74,27.69
Parthiv Patel,2848,365,49,13,0,81,120.78,22.6
Yuvraj Singh,2750,217,149,13,0,83,129.71,24.77
Virender Sehwag,2728,334,106,16,2,122,155.44,27.55
Murali Vijay,2619,247,91,13,2,127,121.87,25.93
Rishabh Pant,2498,225,113,15,1,128,147.46,35.18
Steve Smith,2485,225,60,11,1,101,128.09,34.51
Shaun Marsh,2477,266,78,20,1,115,132.74,39.95
Jacques Kallis,2427,255,44,17,0,89,109.22,28.55
Ravindra Jadeja,2386,176,85,2,0,62,128.07,27.11
Dwayne Smith,2385,245,117,17,0,87,135.2,28.39
Shreyas Iyer,2375,196,88,16,0,96,123.95,31.66
Suryakumar Yadav,2341,261,68,13,0,82,135.71,28.9
Sachin Tendulkar,2334,295,29,13,1,100,119.81,34.83
Quinton de Kock,2256,230,83,16,1,108,130.93,31.33
