Match Number,Date,Location,Home Team,Away Team
1,19/09/2022,"Zayed Cricket Stadium, Abu Dhabi",Mumbai Indians,Chennai Super Kings
2,20/09/2022,Dubai International Cricket Stadium,Delhi Capitals,Kings XI Punjab
3,21/09/2022,Dubai International Cricket Stadium,Sunrisers Hyderabad,Royal Challengers Bangalore
4,22/09/2022,Sharjah Cricket Stadium,Rajasthan Royals,Chennai Super Kings
5,23/09/2022,"Zayed Cricket Stadium, Abu Dhabi",Kolkata Knight Riders,Mumbai Indians
6,24/09/2022,Dubai International Cricket Stadium,Kings XI Punjab,Royal Challengers Bangalore
7,25/09/2022,Dubai International Cricket Stadium,Chennai Super Kings,Delhi Capitals
8,26/09/2022,"Zayed Cricket Stadium, Abu Dhabi",Kolkata Knight Riders,Sunrisers Hyderabad
9,27/09/2022,Sharjah Cricket Stadium,Rajasthan Royals,Kings XI Punjab
10,28/09/2022,Dubai International Cricket Stadium,Royal Challengers Bangalore,Mumbai Indians
11,29/09/2022,"Zayed Cricket Stadium, Abu Dhabi",Delhi Capitals,Sunrisers Hyderabad
12,30/09/2022,Dubai International Cricket Stadium,Rajasthan Royals,Kolkata Knight Riders
13,1/10/2022,"Zayed Cricket Stadium, Abu Dhabi",Kings XI Punjab,Mumbai Indians
14,2/10/2022,Dubai International Cricket Stadium,Chennai Super Kings,Sunrisers Hyderabad
15,3/10/2022,"Zayed Cricket Stadium, Abu Dhabi",Royal Challengers Bangalore,Rajasthan Royals
16,3/10/2022,Sharjah Cricket Stadium,Delhi Capitals,Kolkata Knight Riders
17,4/10/2022,Sharjah Cricket Stadium,Mumbai Indians,Sunrisers Hyderabad
18,4/10/2022,Dubai International Cricket Stadium,Kings XI Punjab,Chennai Super Kings
19,5/10/2022,Dubai International Cricket Stadium,Royal Challengers Bangalore,Delhi Capitals
20,6/10/2022,"Zayed Cricket Stadium, Abu Dhabi",Mumbai Indians,Rajasthan Royals
